parameter,cluster,bus,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
load,0,21,142.69780000000003,137.863,134.0024,131.9862,132.68120000000002,136.74539999999996,138.83899999999997,144.52580000000003,153.59480000000005,164.06460000000007,175.5192,186.03799999999993,195.84420000000003,203.40619999999998,208.3544,211.02499999999998,210.00040000000007,205.93000000000004,198.9114,190.8356,183.09300000000007,171.5524,160.02400000000003,150.649
load,0,22,94.80059999999996,91.58959999999998,89.0238,87.684,88.14659999999999,90.8468,92.23720000000002,96.01540000000003,102.04019999999997,108.9966,116.60600000000001,123.5942,130.10859999999994,135.1324,138.42040000000006,140.1932,139.51299999999998,136.80980000000002,132.1458,126.78140000000003,121.6374,113.96999999999998,106.31140000000003,100.08280000000002
load,0,23,166.72660000000005,157.93939999999998,152.3464,150.34939999999997,153.9318,160.48800000000003,163.21579999999997,170.3081999999999,182.87300000000008,198.02760000000006,213.57340000000005,228.42019999999997,242.2078,253.42280000000005,260.88379999999995,265.22939999999994,267.0533999999999,264.2556000000001,254.9527999999999,244.68300000000002,233.1778,215.48700000000005,196.64520000000005,180.609
load,0,24,174.5776,165.37660000000002,159.52019999999996,157.4302,161.18019999999999,168.0454,170.9012,178.3284,191.48420000000004,207.35160000000005,223.63019999999995,239.1766,253.61339999999996,265.3565999999999,273.16920000000005,277.71939999999995,279.62940000000003,276.69960000000003,266.9579999999999,256.20439999999985,244.15779999999987,225.6346000000001,205.90499999999997,189.1138
load,0,25,224.64620000000002,215.12999999999997,208.56800000000004,205.3082,207.72479999999996,214.7082,215.6464,227.95500000000004,247.98000000000005,269.3666,289.3234,306.3705999999999,320.3582,329.7095999999999,333.129,333.2386,328.3502,318.7056,306.6654,299.3657999999999,290.3678,273.3524,254.4864,237.63620000000006
load,0,26,325.5464,320.85659999999996,317.44239999999996,315.26880000000006,315.2486,316.6702,317.04440000000005,322.70459999999997,332.0210000000001,340.96579999999994,350.1774,358.69180000000017,366.82199999999995,372.6237999999999,375.8865999999999,377.24120000000005,375.7805999999999,372.69199999999995,367.72380000000004,360.792,355.9264,347.40579999999994,340.3337999999999,333.4044
load,0,27,1176.4640000000002,1121.5243999999998,1085.7894000000003,1074.3476,1097.526,1142.1726,1166.3408,1233.1006,1336.5991999999999,1459.7953999999997,1578.0037999999997,1684.0248,1775.0495999999991,1842.3670000000004,1883.2043999999994,1904.1300000000003,1899.1262,1857.1472,1777.6722,1702.9923999999994,1624.5495999999996,1502.7398,1377.5365999999997,1270.9920000000002
load,0,28,57.79740000000001,55.84000000000001,54.2756,53.458800000000004,53.740599999999986,55.38720000000002,56.23440000000002,58.538000000000004,62.211200000000005,66.45179999999999,71.09100000000001,75.35159999999998,79.32360000000003,82.3866,84.39039999999999,85.4718,85.05720000000001,83.40879999999999,80.56639999999999,77.29419999999999,74.16019999999997,69.48599999999999,64.81500000000001,61.018399999999986
load,0,29,1223.4857999999995,1158.9994000000002,1117.9556000000002,1103.3104000000003,1129.5938000000006,1177.7048000000002,1197.7238000000002,1249.7721999999997,1341.9722000000004,1453.1777999999997,1567.2581999999995,1676.2112000000002,1777.3858000000002,1859.6865999999995,1914.4390000000003,1946.3238000000003,1959.7137999999995,1939.1766000000002,1870.9111999999996,1795.5452000000005,1711.1188,1581.3024000000003,1443.0342,1325.3553999999997
load,0,30,186.63180000000003,180.3098,175.26,172.62180000000004,173.53239999999997,178.8484,181.5859999999999,189.02200000000008,200.8854,214.57859999999997,229.55900000000003,243.31779999999998,256.14200000000005,266.0316,272.50360000000006,275.9960000000001,274.65700000000004,269.33299999999997,260.15319999999997,249.59219999999996,239.46540000000005,224.3714,209.2934,197.03179999999998
load,0,31,38.08120000000001,36.467800000000004,35.355199999999996,34.80239999999999,35.212599999999995,36.39579999999999,36.555600000000005,38.6428,42.037,45.662400000000005,49.0452,51.934200000000004,54.306,55.89080000000002,56.47039999999999,56.48859999999999,55.66039999999999,54.02580000000001,51.98439999999998,50.747800000000005,49.221799999999995,46.33740000000001,43.1394,40.28279999999998
load,0,32,303.51879999999994,290.66119999999995,281.7944,277.39079999999996,280.6572,290.0912,291.3592,307.9876000000001,335.04479999999995,363.93980000000005,390.9033999999998,413.9350000000002,432.83520000000004,445.4682,450.0906,450.23699999999997,443.63200000000006,430.60220000000004,414.3339999999999,404.4718000000001,392.3156000000001,369.325,343.8350000000001,321.0684
load,0,33,312.337,295.87440000000004,285.39639999999997,281.6579999999999,288.36760000000004,300.6498000000001,305.76019999999994,319.0469999999999,342.5852,370.9732000000001,400.0967999999999,427.9108000000001,453.73879999999997,474.74980000000005,488.7269999999999,496.86659999999995,500.28420000000006,495.04140000000007,477.6144000000001,458.37499999999994,436.8219999999999,403.6819999999999,368.38420000000013,338.343
load,0,34,225.36739999999995,217.73260000000002,211.63580000000002,208.45,209.5492,215.96839999999997,219.27419999999992,228.25460000000007,242.5794,259.11479999999995,277.2049999999999,293.81919999999997,309.30559999999997,321.24860000000007,329.0634000000001,333.2804,331.662,325.2348,314.14959999999996,301.3954,289.1676,270.93940000000003,252.73320000000004,237.92620000000002
load,0,35,93.7736,90.41440000000003,88.20559999999999,87.28799999999997,88.53640000000003,91.25260000000002,92.9436,98.20160000000001,105.21240000000002,113.0746,120.93140000000002,128.03079999999997,134.20759999999999,138.62099999999998,141.357,142.37559999999996,141.03020000000004,138.2776,133.05159999999998,127.61979999999996,122.1312,114.01420000000003,105.946,99.38599999999997
load,0,36,23.87080000000001,22.613200000000003,21.812799999999996,21.527199999999993,22.039799999999996,22.978,23.370000000000008,24.385200000000005,26.18300000000001,28.353199999999994,30.579,32.704600000000006,34.67959999999999,36.2846,37.35340000000001,37.97540000000001,38.236399999999996,37.83519999999999,36.50420000000001,35.0328,33.3854,30.853199999999987,28.155000000000005,25.85960000000001
load,0,37,292.0274000000001,278.38900000000007,269.51779999999997,266.67820000000006,272.43260000000004,283.5142,289.51399999999995,306.08459999999985,331.77600000000007,362.3566,391.69799999999987,418.01579999999996,440.6096,457.31980000000004,467.45599999999996,472.6507999999999,471.4084,460.98779999999994,441.26059999999995,422.7234,403.25199999999995,373.01580000000007,341.93719999999996,315.4902
load,0,38,53.9296,51.6454,50.06980000000001,49.28679999999999,49.86700000000002,51.54200000000001,51.7684,54.7234,59.531200000000005,64.665,69.45459999999999,73.54779999999998,76.90520000000004,79.14979999999998,79.97139999999999,79.99739999999998,78.8244,76.50960000000002,73.61899999999997,71.86619999999998,69.7068,65.62200000000001,61.09220000000001,57.04739999999999
load,0,39,185.92940000000007,179.50679999999997,175.90299999999996,175.66699999999997,179.58939999999996,184.3554,187.12279999999998,197.71800000000002,213.21600000000007,229.68379999999993,244.5374,256.376,265.8024,271.26599999999996,272.95760000000007,271.8048,267.4267999999999,259.6474,250.6904,244.37239999999997,235.59859999999992,222.0476,207.83399999999995,195.4989999999999
load,0,40,107.8944,102.85619999999999,99.5792,98.52899999999995,100.65500000000002,104.74940000000002,106.9664,113.08940000000003,122.58140000000002,133.87919999999997,144.72080000000003,154.445,162.79139999999998,168.96580000000003,172.71040000000005,174.62939999999992,174.1712,170.3206,163.033,156.18299999999996,148.9898,137.81840000000003,126.33520000000006,116.56420000000001
load,0,41,44.70240000000002,43.18760000000001,41.978199999999994,41.34599999999998,41.5644,42.83820000000001,43.493199999999995,45.27499999999999,48.11640000000001,51.3954,54.98340000000001,58.279,61.350599999999986,63.7196,65.2696,66.10600000000001,65.78499999999998,64.51060000000001,62.31159999999999,59.78220000000001,57.35619999999999,53.74080000000001,50.12959999999999,47.1924
load,0,42,300.2085999999999,286.1890000000001,277.07059999999984,274.1502,280.06500000000005,291.4582,297.6254,314.6618,341.07099999999997,372.5086,402.6727999999998,429.72739999999993,452.95480000000003,470.1337999999999,480.55400000000003,485.8938,484.61660000000006,473.90499999999986,453.62420000000003,434.5678,414.55120000000005,383.46699999999987,351.51880000000006,324.33020000000005
load,0,43,52.24239999999999,49.4886,47.73519999999999,47.11060000000002,48.23259999999999,50.286800000000014,51.141999999999996,53.365,57.301,62.04920000000001,66.9214,71.57260000000001,75.89300000000001,79.40620000000001,81.745,83.10600000000001,83.6786,82.80180000000001,79.88659999999999,76.66939999999998,73.06340000000002,67.521,61.617,56.59079999999998
load,0,44,9.641000000000002,9.264000000000003,9.017799999999998,8.974599999999999,9.165799999999999,9.547200000000002,9.827199999999998,10.4444,11.324599999999998,12.2334,13.105600000000004,13.876800000000001,14.547800000000002,14.978000000000002,15.1926,15.1842,15.1164,14.771799999999999,14.162,13.692600000000004,13.011400000000004,12.053000000000003,11.129999999999997,10.3926
